File,Matched_Entities,Matched_Entities_Count
data/part1/AbedAbdi_Sculptors_en.txt,"['israeli', 'Abdi', 'israelis', 'Abed Abdi', 'israel', '1999']",6
data/part1/AbhayBhushan_ComputerScientists_en.txt,"['Indian', 'Bhushan', 'Abhay Bhushan']",3
data/part1/AdaLovelace_ComputerScientists_en.txt,"['Ada Byron', 'first', 'byron', 'countess', 'Byron', 'Ada', 'English', 'Lovelace', 'Countess', 'lovelace', 'ada', 'Augusta Ada King']",12
data/part1/AdamDunkels_ComputerScientists_en.txt,"['Dunkels', 'Thingsquare', '2010', 'Swedish', 'dunkels', '1978', 'Adam Dunkels', '35']",8
data/part1/AdeleGoldberg(computerscientist)_ComputerScientists_en.txt,"['Adele Goldberg', 'American']",2
data/part1/AdolfBierbrauer_Sculptors_en.txt,"['German', 'Adolf Bierbrauer', 'german']",3
"data/part1/Agasias,sonofDositheus_Sculptors_en.txt",[],0
data/part1/AgimÇavdarbasha_Sculptors_en.txt,"['kosovo', 'Albanian', 'Çavdarbasha']",3
data/part1/AgostinoCarlini_Sculptors_en.txt,"['Augostino', 'Italian', 'italian', 'carlini', 'Carlini']",5
data/part1/AgostinodaSiena_Sculptors_en.txt,"['Agostino da Siena', 'Italian', 'Giovanni', 'giovanni', 'italian', 'agostino', 'Agostino da siena', 'Agostino']",8
data/part1/AgostinodiDuccio_Sculptors_en.txt,"['Duccio', 'Italian', '1418', 'italian', 'agostino', 'Renaissance', 'duccio', 'Agostino']",8
data/part1/AgustinCárdenas_Sculptors_en.txt,"['Cuba', 'cuban', 'Agustín Cárdenas Alfonso', 'cuba']",4
data/part1/AhmedAlSafi_Sculptors_en.txt,"['Iraqi', 'Ahmed Al Safi', '1971']",3
data/part1/AisaAmittu_Sculptors_en.txt,['Aisa Amittu'],1
data/part1/AlainColmerauer_ComputerScientists_en.txt,"['12', 'French']",2
data/part1/AlanDix_ComputerScientists_en.txt,"['Alan John Dix', 'British', 'HCI']",3
data/part1/AlanEdelman_ComputerScientists_en.txt,"['Julia', 'Alan Stuart Edelman', 'American']",3
data/part1/AlanKay_ComputerScientists_en.txt,"['kay', 'Alan Curtis Kay', 'Kay', 'American']",4
data/part1/AlashuaAningmiuq_Sculptors_en.txt,"['Alashua Aningmiuq', 'Canada']",2
data/part1/AlbertoBurri_Sculptors_en.txt,"['Alberto Burri', 'italian', 'Italian']",3
data/part1/AlbertoCiaramella_ComputerScientists_en.txt,"['1947', '40', 'Alberto Ciaramella', 'Italian', 'italian']",5
data/part1/Aleijadinho_Sculptors_en.txt,"['Aleijadinho', 'brazil', 'Brazil', 'Antônio Francisco Lisboa', 'Colonial Brazil', 'aleijadinho']",6
data/part1/AlessandroAlgardi_Sculptors_en.txt,"['Alessandro Algardi', 'italian', 'Italian']",3
data/part1/AlexanderArchipenko_Sculptors_en.txt,"['Ukrainian', 'Olexandr', 'ALEKSANDR', 'aleksandr', 'olexandr', 'Arkhypenko', 'Oleksandr', 'Aleksandr', 'Олександр Порфирович Архипенко', 'Alexander Porfyrovych Archipenko']",10
data/part1/AlexanderCalder_Sculptors_en.txt,"['american', 'American', 'Alexander Calder']",3
data/part1/AlexanderDewdney_ComputerScientists_en.txt,"['Canadian', 'canadian', 'Alexander Keewatin Dewdney', 'Dewdney', 'dewdney']",5
data/part1/AlexanderMilneCalder_Sculptors_en.txt,"['Alexander Milne Calder', 'Alexander milne calder']",2
data/part1/AlexanderStirlingCalder_Sculptors_en.txt,"['american', 'American', 'alexander', 'Alexander Stirling Calder', 'Alexander']",5
data/part1/AlfredAho_ComputerScientists_en.txt,"['Canadian', 'canadian', 'Alfred Vaino Aho']",3
