File,Matched_Entities,Matched_Entities_Count
data/part1/AbedAbdi_Sculptors_en.txt,"['israeli', 'Abdi', '45', 'Abed Abdi', 'israelis', 'israel', '1999']",7
data/part1/AbhayBhushan_ComputerScientists_en.txt,"['Indian', 'Bhushan', 'Abhay Bhushan']",3
data/part1/AdaLovelace_ComputerScientists_en.txt,"['Ada Byron', 'first', 'byron', 'Byron', 'Ada', 'English', 'Lovelace', 'Countess of Lovelace', 'lovelace', 'ada', 'Augusta Ada King']",11
data/part1/AdamDunkels_ComputerScientists_en.txt,"['Dunkels', 'Thingsquare', '2010', 'Swedish', 'dunkels', '1978', 'Adam Dunkels', '35']",8
data/part1/AdeleGoldberg(computerscientist)_ComputerScientists_en.txt,"['Adele Goldberg', 'American']",2
data/part1/AdolfBierbrauer_Sculptors_en.txt,"['German', 'Adolf Bierbrauer', 'german']",3
"data/part1/Agasias,sonofDositheus_Sculptors_en.txt",['Agasias'],1
data/part1/AgimÇavdarbasha_Sculptors_en.txt,"['kosovo', 'Agim Çavdarbasha']",2
data/part1/AgostinoCarlini_Sculptors_en.txt,"['Augostino Carlini', 'Italian', 'italian', 'Agostino Carlini', '1718']",5
data/part1/AgostinodaSiena_Sculptors_en.txt,"['Agostino da Siena', '1347', 'Italian', 'Agostino di Giovanni', 'italian', 'Agostino da siena']",6
data/part1/AgostinodiDuccio_Sculptors_en.txt,"['Agostino Di Duccio', 'Italian', 'italian', 'agostino', 'Agostino di Duccio', 'Agostino']",6
data/part1/AgustinCárdenas_Sculptors_en.txt,"['Cuba', 'cuban', 'Agustín Cárdenas Alfonso', 'cuba']",4
data/part1/AhmedAlSafi_Sculptors_en.txt,"['Iraqi', 'Ahmed Al Safi', '1971']",3
data/part1/AisaAmittu_Sculptors_en.txt,['Aisa Amittu'],1
data/part1/AlainColmerauer_ComputerScientists_en.txt,"['French', 'Alain Colmerauer']",2
data/part1/AlanDix_ComputerScientists_en.txt,"['British', 'HCI', 'Dix']",3
data/part1/AlanEdelman_ComputerScientists_en.txt,"['Julia', 'American', 'edelman', 'Edelman', 'Alan Stuart Edelman']",5
data/part1/AlanKay_ComputerScientists_en.txt,"['kay', 'Alan Curtis Kay', 'Kay', 'American']",4
data/part1/AlashuaAningmiuq_Sculptors_en.txt,"['Alashua Aningmiuq', 'Canada']",2
data/part1/AlbertoBurri_Sculptors_en.txt,"['Alberto Burri', 'italian', 'Italian']",3
data/part1/AlbertoCiaramella_ComputerScientists_en.txt,"['1947', '40', 'Alberto Ciaramella', 'Italian', 'italian']",5
data/part1/Aleijadinho_Sculptors_en.txt,"['Aleijadinho', 'brazil', 'Brazil', 'Antônio Francisco Lisboa', 'Colonial Brazil', 'aleijadinho', '1738']",7
data/part1/AlessandroAlgardi_Sculptors_en.txt,"['Alessandro Algardi', 'italian', 'Italian']",3
data/part1/AlexanderArchipenko_Sculptors_en.txt,"['Ukrainian', 'Olexandr', 'ALEKSANDR', 'aleksandr', 'olexandr', 'Oleksandr', 'Aleksandr', 'Alexander Porfyrovych Archipenko']",8
data/part1/AlexanderCalder_Sculptors_en.txt,"['american', 'American', 'Calder', 'Alexander Calder', 'calder']",5
