Category,Recognizer,NE,Type,File
Sculptors,spacy,Mark Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1946,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Waltham,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Massachusetts,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,American,NORP,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,BFA,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the University of Pittsburgh,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1968,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,MFA,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the San Francisco Art Institute,FAC,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1974,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1975,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,San Francisco's,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,John O'Connell Trade School,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the Bethlehem Ship Yards,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,age 40,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the West Coast Funk,LOC,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1985,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Spalding House,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the Honolulu Museum of Art,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Three Figures,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the City of Portland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Oakland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Berkeley,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,California,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Bulwinkleland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,West Oakland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,1997,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Hello Again,WORK_OF_ART,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,the Oakland Museum,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,North America,LOC,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Susan Subtle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Bulwinkle,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Mildred Howard,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Leo Sewell,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Clayton Bailey,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Claire Graham,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Jan Yager,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Remi Rubel,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,spacy,Pippa Garner,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Mark Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1946,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Waltham,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Massachusetts,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,American,NORP,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,BFA,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the University of Pittsburgh,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1968,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,MFA,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the San Francisco Art Institute,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1974,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1975,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,San Francisco 's,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,John O'Connell Trade School,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the Bethlehem Ship Yards,FAC,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,40,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,West Coast Funk,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Giant Fish,WORK_OF_ART,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1985,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Spalding House,FAC,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the Honolulu Museum of Art,FAC,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Three Figures,WORK_OF_ART,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the City of Portland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Multnomah County Public Art Collection,ORG,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Oakland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Berkeley,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,California,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Bulwinkleland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,West Oakland,GPE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,1997,DATE,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Bulwinkle,PERSON,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,""" Hello Again ! """,WORK_OF_ART,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,the Oakland Museum,FAC,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,North America,LOC,MarkBulwinkle_Sculptors_en.txt
Sculptors,stanza,Susan Subtle,PERSON,MarkBulwinkle_Sculptors_en.txt
